[2025-10-20 03:15:57] [javac-extractor-29136] Starting extraction for:
                                              sun.java.command=com.semmle.extractor.java.JavaExtractor --jdk-version 21 --javac-args @@@C:\Sidd all in one\Unsafe\Lab6\CodeQL-Databases\zxing-codeql-db\log\ext\javac.args
                                              user.dir=C:\Sidd all in one\Unsafe\Lab6\Repos\zxing
[2025-10-20 03:15:57] [javac-extractor-29136] Compilation name C:/Sidd all in one/Unsafe/Lab6/CodeQL-Databases/zxing-codeql-db/trap/java/diagnostics/diagnostic.trap.gz
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\ResultMetadataType.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\MultiFormatWriter.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\Writer.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\WriterException.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\PlanarYUVLuminanceSource.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\RGBLuminanceSource.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\ResultPointCallback.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\AztecDetectorResult.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\DetectorResult.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\AztecReader.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\AztecWriter.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\AztecCode.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\decoder\Decoder.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\DecoderResult.java
[2025-10-20 03:16:12] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\detector\Detector.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\BinaryShiftToken.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\Token.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\Encoder.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\reedsolomon\GenericGF.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\reedsolomon\GenericGFPoly.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\HighLevelEncoder.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\State.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\aztec\encoder\SimpleToken.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\AbstractDoCoMoResultParser.java
[2025-10-20 03:16:13] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ParsedResultType.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\AddressBookAUResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\AddressBookParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\AddressBookDoCoMoResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\BizcardResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\BookmarkDoCoMoResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\URIParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\CalendarParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\EmailAddressParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\EmailAddressResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\EmailDoCoMoResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ExpandedProductParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ExpandedProductResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\GeoParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\GeoResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ISBNParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ISBNResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ProductParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\ProductResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\SMSMMSResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\SMSParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\SMSTOMMSTOResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\SMTPResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\TelParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\TelResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\TextParsedResult.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\URIResultParser.java
[2025-10-20 03:16:14] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\URLTOResultParser.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\VCardResultParser.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\VEventResultParser.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\VINParsedResult.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\VINResultParser.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\WifiParsedResult.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\client\result\WifiResultParser.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\BitSource.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\CharacterSetECI.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\DefaultGridSampler.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\GridSampler.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\PerspectiveTransform.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\ECIEncoderSet.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\ECIInput.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\ECIStringBuilder.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\GlobalHistogramBinarizer.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\HybridBinarizer.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\MinimalECIInput.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\StringUtils.java
[2025-10-20 03:16:15] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\detector\MathUtils.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\detector\MonochromeRectangleDetector.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\detector\WhiteRectangleDetector.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\reedsolomon\ReedSolomonDecoder.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\reedsolomon\ReedSolomonException.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\common\reedsolomon\ReedSolomonEncoder.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\DataMatrixReader.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\decoder\Decoder.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\DataMatrixWriter.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\DefaultPlacement.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\SymbolInfo.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\encoder\ByteMatrix.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\SymbolShapeHint.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\decoder\BitMatrixParser.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\decoder\Version.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\decoder\DataBlock.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\decoder\DecodedBitStreamParser.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\detector\Detector.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\ASCIIEncoder.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\Encoder.java
[2025-10-20 03:16:16] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\EncoderContext.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\Base256Encoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\C40Encoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\DataMatrixSymbolInfo144.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\EdifactEncoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\ErrorCorrection.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\HighLevelEncoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\MinimalEncoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\TextEncoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\datamatrix\encoder\X12Encoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\maxicode\MaxiCodeReader.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\maxicode\decoder\Decoder.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\maxicode\decoder\BitMatrixParser.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\maxicode\decoder\DecodedBitStreamParser.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\ByQuadrantReader.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\GenericMultipleBarcodeReader.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\MultipleBarcodeReader.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\qrcode\QRCodeMultiReader.java
[2025-10-20 03:16:17] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\QRCodeReader.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\decoder\Decoder.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\decoder\BitMatrixParser.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\decoder\Version.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\decoder\FormatInformation.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\decoder\ErrorCorrectionLevel.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\qrcode\detector\MultiDetector.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\detector\Detector.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\detector\FinderPatternInfo.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\detector\AlignmentPattern.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\detector\FinderPattern.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\multi\qrcode\detector\MultiFinderPatternFinder.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\qrcode\detector\FinderPatternFinder.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\oned\CodaBarReader.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\oned\OneDReader.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\oned\CodaBarWriter.java
[2025-10-20 03:16:18] [javac-extractor-29136] Processing file C:\Sidd all in one\Unsafe\Lab6\Repos\zxing\core\src\main\java\com\google\zxing\oned\OneDimensionalCodeWriter.java
